ID,Manufacturing Site,First Line Designation,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Unit Price,Weight (Kilograms),Line Item Insurance (USD),Freight Cost (USD)
1,Ranbaxy Fine Chemicals LTD,Yes,30,19,551,0.97,13,,780.34
3,"Aurobindo Unit III, India",Yes,240,1000,6200,0.03,358,,4521.5
4,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,500,40000,0.8,171,,1653.78
15,"Ranbaxy, Paonta Shahib, India",Yes,60,31920,127360.8,0.07,1855,,16007.06
16,"Aurobindo Unit III, India",Yes,60,38000,121600,0.05,7590,,45450.08
23,"Aurobindo Unit III, India",Yes,240,416,2225.6,0.02,504,,5920.42
44,MSD South Granville Australia,Yes,90,135,4374,0.36,328,,Freight Included in Commodity Cost
45,"Aurobindo Unit III, India",Yes,60,16667,60834.55,0.06,1478,,6212.41
46,"Aurobindo Unit III, India",No,60,273,532.35,0.03,See ASN-93 (ID#:1281),,See ASN-93 (ID#:1281)
47,ABBVIE (Abbott) St. P'burg USA,Yes,120,2800,115080,0.34,643,,Freight Included in Commodity Cost
60,ABBVIE Ludwigshafen Germany,Yes,120,2800,115080,0.34,643,,Freight Included in Commodity Cost
61,"Trinity Biotech, Plc",Yes,20,2500,100000,2,853,,13569.49
62,"EY Laboratories, USA",Yes,100,10,850,0.85,Weight Captured Separately,,Invoiced Separately
64,"Cipla, Goa, India",Yes,60,10000,99800,0.17,7416,,64179.42
65,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,750,60000,0.8,256,,1760.32
68,"BMS Meymac, France",Yes,60,579,14764.5,0.42,Weight Captured Separately,,Freight Included in Commodity Cost
69,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,1500,120000,0.8,Weight Captured Separately,192,Freight Included in Commodity Cost
80,Premier Med. Corp Ltd. India,Yes,30,2000,33000,0.55,710,,3120.7
87,"BMS Meymac, France",Yes,200,712,8964.08,0.06,162,,912.96
92,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,1000,80000,0.8,341,128,2682.47
96,Chembio Diagnostics Sys. Inc.,Yes,20,7500,202500,1.35,2278,,15893.71
108,"BMS Meymac, France",Yes,60,5513,140581.5,0.42,2126,224.93,Freight Included in Commodity Cost
115,"Aurobindo Unit III, India",Yes,240,1000,1920,0.01,941,3.07,4193.49
116,ABBVIE Ludwigshafen Germany,Yes,120,500,41095,0.68,117,65.75,1767.38
130,Inverness Japan,Yes,100,750,53992.5,0.72,171,86.39,3518.38
