Duration,Morning,Afternoon,Evening,Night,Weekday,Weekend,Male,Age
743,0,0,1,0,1,0,0,17
872,0,1,0,0,1,0,0,17
514,0,1,0,0,1,0,0,17
1337,0,1,0,0,1,0,0,17
493,1,0,0,0,0,1,0,17
620,0,1,0,0,0,1,0,17
1112,0,1,0,0,1,0,0,17
259,0,0,1,0,0,1,0,17
445,0,0,1,0,0,1,0,17
1155,0,0,0,1,1,0,0,17
468,0,1,0,0,1,0,0,17
507,0,1,0,0,1,0,0,17
890,0,0,1,0,1,0,0,17
298,0,1,0,0,1,0,0,17
521,0,1,0,0,1,0,0,17
298,0,1,0,0,1,0,0,17
1098,0,0,1,0,1,0,0,17
330,0,0,1,0,1,0,0,17
279,0,1,0,0,1,0,0,17
894,0,1,0,0,1,0,0,17
587,0,1,0,0,1,0,0,17
3,0,0,1,0,0,1,0,17
6,0,0,1,0,0,1,0,17
568,0,0,1,0,0,1,0,17
740,1,0,0,0,1,0,0,17
1140,0,1,0,0,1,0,0,17
989,0,1,0,0,1,0,0,17
684,0,1,0,0,1,0,0,17
1843,0,0,1,0,1,0,0,17
4,0,0,1,0,1,0,0,17
1309,0,1,0,0,1,0,0,17
1098,0,1,0,0,1,0,0,17
1683,0,1,0,0,1,0,0,17
1267,0,1,0,0,1,0,0,17
1311,0,1,0,0,1,0,0,17
761,0,0,1,0,1,0,0,17
887,1,0,0,0,1,0,0,17
979,0,1,0,0,1,0,0,17
514,1,0,0,0,0,1,0,17
606,0,1,0,0,0,1,0,17
1229,1,0,0,0,1,0,0,17
873,0,1,0,0,1,0,0,17
473,0,1,0,0,1,0,0,17
1022,0,1,0,0,1,0,0,17
753,1,0,0,0,1,0,0,17
1040,0,1,0,0,1,0,0,17
360,0,1,0,0,1,0,0,17
1021,1,0,0,0,1,0,0,17
927,0,1,0,0,1,0,0,17
934,1,0,0,0,1,0,0,17
1020,0,1,0,0,1,0,0,17
517,0,1,0,0,1,0,0,17
889,0,1,0,0,1,0,0,17
584,0,1,0,0,1,0,0,17
865,0,1,0,0,1,0,0,17
1475,0,1,0,0,1,0,0,17
930,1,0,0,0,1,0,0,17
800,0,1,0,0,1,0,0,17
893,1,0,0,0,1,0,0,17
1054,0,1,0,0,1,0,0,17
35,0,0,1,0,1,0,0,17
916,0,1,0,0,1,0,0,17
986,1,0,0,0,1,0,0,17
979,0,1,0,0,1,0,0,17
937,1,0,0,0,1,0,0,17
2223,0,1,0,0,1,0,0,17
612,0,1,0,0,1,0,0,17
467,1,0,0,0,1,0,0,17
999,1,0,0,0,1,0,0,17
1021,0,1,0,0,1,0,0,17
1641,1,0,0,0,0,1,0,17
879,1,0,0,0,1,0,0,17
1370,0,1,0,0,1,0,0,17
1043,0,1,0,0,1,0,0,17
838,1,0,0,0,1,0,0,17
1040,1,0,0,0,1,0,0,17
1594,0,1,0,0,1,0,0,17
523,1,0,0,0,1,0,0,17
1320,0,1,0,0,1,0,0,17
732,1,0,0,0,1,0,0,17
970,0,1,0,0,1,0,0,17
951,0,1,0,0,1,0,0,17
1063,1,0,0,0,1,0,0,17
1102,0,1,0,0,1,0,0,17
1067,1,0,0,0,1,0,0,17
1025,0,1,0,0,1,0,0,17
409,1,0,0,0,1,0,0,17
374,0,1,0,0,1,0,0,17
1074,1,0,0,0,1,0,0,17
582,0,1,0,0,1,0,0,17
602,0,1,0,0,1,0,0,17
522,0,0,1,0,1,0,0,17
1078,1,0,0,0,1,0,0,17
496,1,0,0,0,1,0,0,17
1014,0,1,0,0,1,0,0,17
542,0,1,0,0,0,1,0,17
1082,0,1,0,0,0,1,0,17
1019,1,0,0,0,1,0,0,17
420,0,1,0,0,1,0,0,17
624,1,0,0,0,1,0,0,17
1088,0,1,0,0,1,0,0,17
359,1,0,0,0,0,1,0,17
456,0,1,0,0,0,1,0,17
649,0,1,0,0,0,1,0,17
848,0,1,0,0,1,0,0,17
420,0,1,0,0,0,1,0,17
173,0,1,0,0,0,1,0,17
374,0,1,0,0,1,0,0,17
352,1,0,0,0,0,1,0,17
2934,0,1,0,0,0,1,0,18
1121,0,1,0,0,0,1,0,18
1898,0,0,1,0,0,1,0,18
1002,1,0,0,0,1,0,0,18
1374,0,1,0,0,1,0,0,18
2237,0,0,1,0,1,0,0,18
1529,0,1,0,0,0,1,0,18
1584,0,0,1,0,0,1,0,18
912,1,0,0,0,1,0,0,18
1668,1,0,0,0,0,1,0,18
1398,0,1,0,0,0,1,0,18
1643,0,1,0,0,0,1,0,18
803,0,1,0,0,1,0,0,18
1213,1,0,0,0,1,0,0,18
1085,0,0,1,0,1,0,0,18
1907,0,0,1,0,1,0,0,18
362,0,1,0,0,0,1,0,18
215,0,1,0,0,0,1,0,18
239,0,0,1,0,0,1,0,18
318,0,1,0,0,1,0,0,18
742,0,1,0,0,1,0,0,18
610,0,1,0,0,1,0,0,18
1988,0,1,0,0,1,0,0,18
861,0,0,0,1,1,0,0,18
1611,0,1,0,0,0,1,0,18
1673,0,0,1,0,1,0,0,18
726,1,0,0,0,1,0,0,18
1893,1,0,0,0,0,1,0,18
1636,0,0,1,0,1,0,0,18
190,0,1,0,0,0,1,0,18
1063,0,0,1,0,0,1,0,18
988,0,0,1,0,0,1,0,18
973,0,1,0,0,1,0,0,18
1061,0,1,0,0,1,0,0,18
1149,0,1,0,0,1,0,0,18
955,0,0,1,0,1,0,0,18
584,0,1,0,0,0,1,0,18
582,0,1,0,0,0,1,0,18
524,0,1,0,0,1,0,0,19
329,0,1,0,0,1,0,0,19
593,0,0,1,0,1,0,0,19
565,0,0,1,0,1,0,0,19
1417,0,0,1,0,0,1,0,19
726,0,0,1,0,1,0,0,19
1079,0,0,1,0,1,0,0,19
964,1,0,0,0,0,1,0,19
807,0,1,0,0,0,1,0,19
843,0,1,0,0,0,1,0,19
459,0,0,1,0,0,1,0,19
664,0,0,1,0,0,1,0,19
535,0,1,0,0,1,0,0,19
679,0,0,1,0,1,0,0,19
734,0,1,0,0,0,1,0,19
587,0,1,0,0,1,0,0,19
471,0,1,0,0,1,0,0,19
1199,0,0,1,0,0,1,0,19
1187,0,1,0,0,1,0,0,19
486,0,1,0,0,1,0,0,19
727,0,1,0,0,1,0,0,19
406,0,0,1,0,1,0,0,19
322,0,0,0,1,0,1,0,19
540,0,0,1,0,1,0,0,19
892,0,0,0,1,1,0,0,19
925,0,0,1,0,1,0,0,19
231,0,0,1,0,1,0,0,19
692,0,0,1,0,1,0,0,19
759,0,0,1,0,0,1,0,19
815,0,1,0,0,0,1,0,19
549,0,0,1,0,0,1,0,19
888,0,0,1,0,1,0,0,19
345,1,0,0,0,1,0,0,19
3342,0,0,1,0,1,0,0,19
1035,0,1,0,0,0,1,0,19
1752,0,0,1,0,0,1,0,19
682,0,1,0,0,1,0,0,19
926,0,0,1,0,1,0,0,19
2552,0,1,0,0,1,0,0,19
1731,0,0,1,0,1,0,0,19
366,0,1,0,0,1,0,0,19
769,0,0,1,0,1,0,0,19
429,0,0,1,0,1,0,0,19
270,1,0,0,0,1,0,0,19
554,0,1,0,0,1,0,0,19
241,0,0,1,0,1,0,0,19
295,0,0,1,0,1,0,0,19
935,1,0,0,0,1,0,0,19
505,0,1,0,0,1,0,0,19
382,0,1,0,0,1,0,0,19
303,0,1,0,0,1,0,0,19
663,0,1,0,0,1,0,0,19
1096,0,0,1,0,0,1,0,19
38697,1,0,0,0,1,0,0,19
249,1,0,0,0,1,0,0,19
262,1,0,0,0,1,0,0,19
247,0,0,1,0,1,0,0,19
470,1,0,0,0,1,0,0,19
485,1,0,0,0,1,0,0,19
378,0,1,0,0,1,0,0,19
258,0,1,0,0,1,0,0,19
316,0,1,0,0,1,0,0,19
245,0,0,1,0,1,0,0,19
848,0,0,1,0,1,0,0,19
182,1,0,0,0,1,0,0,19
263,1,0,0,0,1,0,0,19
774,0,1,0,0,1,0,0,19
256,1,0,0,0,1,0,0,19
994,0,0,1,0,1,0,0,19
1031,0,0,1,0,1,0,0,19
235,1,0,0,0,1,0,0,19
230,0,1,0,0,1,0,0,19
399,0,0,1,0,1,0,0,19
243,0,1,0,0,1,0,0,19
345,0,1,0,0,1,0,0,19
249,0,1,0,0,1,0,0,19
260,0,0,1,0,1,0,0,19
472,0,0,1,0,1,0,0,19
308,0,1,0,0,1,0,0,19
883,0,1,0,0,0,1,0,19
647,0,1,0,0,0,1,0,19
550,1,0,0,0,0,1,0,19
1489,0,1,0,0,0,1,0,19
222,0,1,0,0,0,1,0,19
1277,0,0,1,0,0,1,0,19
173,1,0,0,0,1,0,0,19
276,1,0,0,0,1,0,0,19
429,0,1,0,0,1,0,0,19
727,0,0,1,0,1,0,0,19
277,1,0,0,0,0,1,0,19
856,1,0,0,0,0,1,0,19
330,1,0,0,0,0,1,0,19
314,0,1,0,0,0,1,0,19
331,0,0,1,0,0,1,0,19
894,1,0,0,0,1,0,0,20
958,1,0,0,0,1,0,0,20
502,1,0,0,0,1,0,0,20
434,1,0,0,0,1,0,0,20
290,0,1,0,0,1,0,0,20
878,1,0,0,0,1,0,0,20
387,1,0,0,0,1,0,0,20
925,1,0,0,0,1,0,0,20
480,0,1,0,0,1,0,0,20
967,1,0,0,0,1,0,0,20
336,0,0,1,0,1,0,0,20
882,0,1,0,0,1,0,0,20
1186,0,1,0,0,1,0,0,20
760,1,0,0,0,1,0,0,20
481,0,1,0,0,1,0,0,20
858,1,0,0,0,1,0,0,20
1081,0,1,0,0,1,0,0,20
295,0,1,0,0,1,0,0,20
350,0,1,0,0,1,0,0,20
771,0,1,0,0,1,0,0,20
516,0,1,0,0,1,0,0,20
442,0,1,0,0,0,1,0,20
1508,0,0,1,0,0,1,0,20
2486,0,0,1,0,0,1,0,20
767,1,0,0,0,1,0,0,20
410,1,0,0,0,1,0,0,20
889,1,0,0,0,1,0,0,20
609,0,1,0,0,1,0,0,20
820,1,0,0,0,1,0,0,20
455,1,0,0,0,1,0,0,20
889,0,1,0,0,1,0,0,20
245,0,1,0,0,1,0,0,20
279,0,1,0,0,1,0,0,20
474,0,1,0,0,1,0,0,20
479,0,1,0,0,1,0,0,20
761,1,0,0,0,1,0,0,20
453,1,0,0,0,1,0,0,20
528,0,1,0,0,1,0,0,20
708,1,0,0,0,1,0,0,20
865,0,1,0,0,1,0,0,20
1024,0,1,0,0,1,0,0,20
424,0,0,1,0,1,0,0,20
1089,0,0,1,0,1,0,0,20
507,1,0,0,0,0,1,0,20
962,1,0,0,0,0,1,0,20
357,0,1,0,0,0,1,0,20
632,1,0,0,0,1,0,0,20
957,1,0,0,0,1,0,0,20
192,1,0,0,0,1,0,0,20
842,0,1,0,0,1,0,0,20
1041,0,1,0,0,1,0,0,20
308,0,1,0,0,1,0,0,20
183,0,0,1,0,1,0,0,20
500,0,0,1,0,1,0,0,20
691,1,0,0,0,1,0,0,20
818,1,0,0,0,1,0,0,20
